DATE,E2,Totaal aantal mensen volledig gevaccineerd (opgeteld),Totaal aantal mensen met minstens één dosis (opgeteld),Totaal aantal mensen met een boosterprik (opgeteld)
2020-12-28,0.0,0.0,340.0,0.0
2020-12-29,0.0,11.0,379.0,0.0
2020-12-30,0.0,21.0,909.0,0.0
2020-12-31,0.0,21.0,957.0,0.0
2021-01-01,0.0,21.0,974.0,0.0
2021-01-02,0.0,34.0,999.0,0.0
2021-01-03,0.0,34.0,1033.0,0.0
2021-01-04,0.0,50.0,1104.0,0.0
2021-01-05,0.0,79.0,2892.0,0.0
2021-01-06,0.0,108.0,6919.0,0.0
2021-01-07,0.0,129.0,15425.0,0.0
2021-01-08,0.0,182.0,24863.0,0.0
2021-01-09,0.0,201.0,28158.0,0.0
2021-01-10,0.0,203.0,28652.0,0.0
2021-01-11,0.0,223.0,34389.0,0.0
2021-01-12,0.0,255.0,50485.0,0.0
2021-01-13,0.0,394.0,72332.0,0.0
2021-01-14,0.0,424.0,95897.0,0.0
2021-01-15,0.0,453.0,119609.0,0.0
2021-01-16,0.0,467.0,124856.0,0.0
2021-01-17,0.0,496.0,128128.0,0.0
2021-01-18,0.0,659.0,139285.0,0.0
2021-01-19,0.0,904.0,158580.0,0.0
2021-01-20,0.0,1406.0,179877.0,0.0
2021-01-21,0.0,1471.0,210269.0,0.0
2021-01-22,0.0,1558.0,240473.0,0.0
2021-01-23,0.0,1582.0,248999.0,0.0
2021-01-24,0.0,1616.0,250919.0,0.0
2021-01-25,0.0,1668.0,262375.0,0.0
2021-01-26,0.0,3472.0,273587.0,0.0
2021-01-27,0.0,6978.0,287001.0,0.0
2021-01-28,0.0,14958.0,303124.0,0.0
2021-01-29,0.0,24215.0,315732.0,0.0
2021-01-30,0.0,27156.0,317395.0,0.0
2021-01-31,0.0,27512.0,318047.0,0.0
2021-02-01,0.0,31523.0,322088.0,0.0
2021-02-02,0.0,46063.0,332424.0,0.0
2021-02-03,0.0,66950.0,342746.0,0.0
2021-02-04,0.0,91520.0,352855.0,0.0
2021-02-05,0.0,114684.0,361049.0,0.0
2021-02-06,0.0,120053.0,362311.0,0.0
2021-02-07,0.0,123162.0,362654.0,0.0
2021-02-08,0.0,131130.0,365071.0,0.0
2021-02-09,0.0,151103.0,373351.0,0.0
2021-02-10,0.0,170440.0,379997.0,0.0
2021-02-11,0.0,198996.0,388406.0,0.0
2021-02-12,0.0,227439.0,395278.0,0.0
2021-02-13,0.0,235654.0,395926.0,0.0
2021-02-14,0.0,237554.0,396074.0,0.0
2021-02-15,0.0,249405.0,398279.0,0.0
2021-02-16,0.0,260116.0,402780.0,0.0
2021-02-17,0.0,273099.0,410136.0,0.0
2021-02-18,0.0,290581.0,420880.0,0.0
2021-02-19,0.0,304019.0,439047.0,0.0
2021-02-20,0.0,305657.0,443553.0,0.0
2021-02-21,0.0,305964.0,445523.0,0.0
2021-02-22,0.0,308985.0,455465.0,0.0
2021-02-23,0.0,317344.0,467568.0,0.0
2021-02-24,0.0,325858.0,482614.0,0.0
2021-02-25,0.0,335250.0,505554.0,0.0
2021-02-26,0.0,342350.0,530980.0,0.0
2021-02-27,0.0,343229.0,534682.0,0.0
2021-02-28,0.0,343510.0,535317.0,0.0
2021-03-01,0.0,346345.0,546366.0,0.0
2021-03-02,0.0,353345.0,563443.0,0.0
2021-03-03,0.0,359641.0,587816.0,0.0
2021-03-04,0.0,368678.0,629246.0,0.0
2021-03-05,0.0,375601.0,667875.0,0.0
2021-03-06,0.0,376303.0,675682.0,0.0
2021-03-07,0.0,376514.0,677073.0,0.0
2021-03-08,0.0,378601.0,692679.0,0.0
2021-03-09,0.0,386188.0,714466.0,0.0
2021-03-10,0.0,395537.0,741717.0,0.0
2021-03-11,0.0,405827.0,786219.0,0.0
2021-03-12,0.0,419764.0,817932.0,0.0
2021-03-13,0.0,422049.0,825783.0,0.0
2021-03-14,0.0,423380.0,826062.0,0.0
2021-03-15,0.0,428179.0,852403.0,0.0
2021-03-16,0.0,432581.0,895220.0,0.0
2021-03-17,0.0,441536.0,934343.0,0.0
2021-03-18,0.0,458448.0,993277.0,0.0
2021-03-19,0.0,477590.0,1042550.0,0.0
2021-03-20,0.0,479028.0,1063700.0,0.0
2021-03-21,0.0,479585.0,1064251.0,0.0
2021-03-22,0.0,485098.0,1091986.0,0.0
2021-03-23,0.0,491036.0,1134543.0,0.0
2021-03-24,0.0,501851.0,1186046.0,0.0
2021-03-25,0.0,522214.0,1245570.0,0.0
2021-03-26,0.0,542191.0,1296357.0,0.0
2021-03-27,0.0,546068.0,1315294.0,0.0
2021-03-28,0.0,547068.0,1316912.0,0.0
2021-03-29,0.0,552471.0,1335640.0,0.0
2021-03-30,0.0,558355.0,1362412.0,0.0
2021-03-31,0.0,569899.0,1436354.0,0.0
2021-04-01,0.0,595050.0,1513727.0,0.0
2021-04-02,0.0,614344.0,1578204.0,0.0
2021-04-03,0.0,615853.0,1597934.0,0.0
2021-04-04,0.0,616009.0,1598130.0,0.0
2021-04-05,0.0,618619.0,1610557.0,0.0
2021-04-06,0.0,628022.0,1648649.0,0.0
2021-04-07,0.0,638100.0,1687129.0,0.0
2021-04-08,0.0,655218.0,1798006.0,0.0
2021-04-09,0.0,671421.0,1917940.0,0.0
2021-04-10,0.0,675663.0,1982929.0,0.0
2021-04-11,0.0,676100.0,1986678.0,0.0
2021-04-12,0.0,685349.0,2026753.0,0.0
2021-04-13,0.0,693955.0,2091267.0,0.0
2021-04-14,0.0,718813.0,2167758.0,0.0
2021-04-15,0.0,745686.0,2253256.0,0.0
2021-04-16,0.0,763231.0,2330296.0,0.0
2021-04-17,0.0,769139.0,2382832.0,0.0
2021-04-18,0.0,769305.0,2388929.0,0.0
2021-04-19,0.0,773875.0,2445970.0,0.0
2021-04-20,0.0,777288.0,2493361.0,0.0
2021-04-21,0.0,782087.0,2581191.0,0.0
2021-04-22,0.0,788361.0,2672061.0,0.0
2021-04-23,0.0,795790.0,2737307.0,0.0
2021-04-24,0.0,797736.0,2782098.0,0.0
2021-04-25,0.0,797844.0,2788528.0,0.0
2021-04-26,0.0,805070.0,2845209.0,0.0
2021-04-27,0.0,819980.0,2883980.0,0.0
2021-04-28,0.0,835543.0,2963849.0,0.0
2021-04-29,0.0,855749.0,3052154.0,0.0
2021-04-30,0.0,878824.0,3113059.0,0.0
2021-05-01,0.0,887041.0,3153105.0,0.0
2021-05-02,0.0,887293.0,3156785.0,0.0
2021-05-03,0.0,902613.0,3223578.0,0.0
2021-05-04,0.0,922002.0,3291526.0,0.0
2021-05-05,0.0,996712.0,3376369.0,0.0
2021-05-06,0.0,1075415.0,3465395.0,0.0
2021-05-07,0.0,1135200.0,3566732.0,0.0
2021-05-08,0.0,1146827.0,3647831.0,0.0
2021-05-09,0.0,1147075.0,3655896.0,0.0
2021-05-10,0.0,1153384.0,3735385.0,0.0
2021-05-11,0.0,1164932.0,3794670.0,0.0
